ID,input_sequence,class_label,text_label,input_type,pattern,source,Action_Valence,Consequence_Valence
189036,"If man moves past hardships of life without shedding a tear, is men having a tough time showing emotions moral?",0,It's understandable,action_situation_question,"If {situation}, is {action} moral?",social_chem,0.587,-0.432
134125,"Is wanting to repress your fetish ok from a moral perspective, in the context of i have a fetish and am trying to repress it?",0,it's understandable,action_situation_question,"Is {action} ok from a moral perspective, in the context of {situation}?",social_chem,0.587,0.126
124083,Are you allowed to keep your word?,1,It is good,action_question,Are you allowed to {action}?,social_chem,0.771,-0.398
685660,"being honest to others in order to atone for your lies, given i lied to 5 people I care greatly about",0,You can be expected to,action_situation,"{action}, given {situation}",social_chem,0.524,-0.65
226429,"When one day sharon and her friends went ice skating, is building positive relationships with others good?",1,It is good,action_situation_question,"When {situation}, is {action} good?",social_chem,0.849,0.772
365400,Is feeling slighted when a family member doesn't come by during the holidays ok morally?,0,It's okay,action_question,Is {action} ok morally?,social_chem,-0.763,-0.845
649156,"When i hate them , avoiding people who hate you",0,It's okay,action_situation,"When {situation}, {action}",social_chem,0.325,-0.097
193722,"not giving others money, given arthur took his brother out of his will",0,it's okay,action_situation,"{action}, given {situation}",social_chem,-0.592,-0.757
570004,"In the context of i'm a man who loves men that are dominant chubby chasers, is loving men correct?",0,It's fine,action_situation_question,"In the context of {situation}, is {action} correct?",social_chem,0.257,0.107
589767,"reminiscing about the past, given we all told funny stories about when I was growing up",0,It's ok,action_situation,"{action}, given {situation}",social_chem,0.787,0.699
833314,"Is keeping secrets from your significant other moral, given when my boyfriend goes to sleep or takes a shower, I look through his phone?",-1,It's best not to,action_situation_question,"Is {action} moral, given {situation}?",social_chem,-0.684,-0.873
497965,Is being considerate of other people's viewpoints acceptable from a moral perspective?,0,you should,action_question,Is {action} acceptable from a moral perspective?,social_chem,0.665,0.559
403075,trying to renegotiate a contract in light of new information,0,It's allowed,action,,social_chem,-0.554,0.223
583737,"In the context of just want to scream, screaming when you need the catharsis",1,It's good,action_situation,"In the context of {situation}, {action}",social_chem,0.436,0.126
183295,Is being untruthful to someone you care about a bad behavior?,-1,it is not good,action_question,Is {action} a bad behavior?,social_chem,0.781,-0.859
883750,running into your house screaming,-1,You shouldn't,action,,social_chem,-0.132,-0.505
669915,having fantasies in your mind,1,It's good,action,,social_chem,-0.171,-0.106
277464,continuing to try to do good for others despite what others do to you,0,it is expected,action,,social_chem,0.66,-0.35
614339,"When putting my career before my girlfriend of 4 years, is having priorities morally okay?",0,it's good,action_situation_question,"When {situation}, is {action} morally okay?",social_chem,-0.5,-0.758
402529,"sticking up for your mother, in the context of my dad hit my mom so I punched him",1,it's good,action_situation,"{action}, in the context of {situation}",social_chem,0.354,-0.937
555133,"In the context of i'm struggling to keep my mental health from crashing. I am saying it here because the person I want to tell is struggling too much on their own already, prioritizing your mental health",1,it's important,action_situation,"In the context of {situation}, {action}",social_chem,0.781,0.801
449683,Should I use violence against others?,-1,It is wrong,action_question,Should I {action}?,social_chem,-0.947,-0.951
750283,"In the context of giving my family doctor attitude, do I need to treat people in a juvenile way?",-1,Never,action_situation_question,"In the context of {situation}, do I need to {action}?",social_chem,-0.787,-0.558
401419,"When when they found out it was a girl they began thinking of names, thinking of baby names when expecting",0,It's common,action_situation,"When {situation}, {action}",social_chem,0.509,0.204
669266,taking drugs,-1,frowned upon,action,,social_chem,-1.0,-0.98
377247,"When timing is an issue for couple wanting to start their family, waiting for the right time before starting a family",0,you should,action_situation,"When {situation}, {action}",social_chem,0.515,0.282
90122,Is Bruce calculating the exact amount of time he needs to get ready and travel and setting his alarm clock accordingly an okay behavior?,1,it's okay,action_question,Is {action} an okay behavior?,moral_stories,0.651,0.641
268493,Is pretending food tastes good when someone else cooked it for you a correct behavior?,0,You are expected,action_question,Is {action} a correct behavior?,social_chem,-0.388,0.563
739280,Are you expected to want to argue with someone who angers you?,-1,It's normal,action_question,Are you expected to {action}?,social_chem,0.583,-0.738
816264,"When Paul has his grandson over for the weekend, and his grandson has been making a lot of sarcastic comments to him, and Paul wants to get through the weekend, is Paul giving his grandson a stern talking to about his attitude and putting him to work until he improves his behaviour acceptable?",1,it's ok,action_situation_intention_question,"When {situation}, and {intention}, is {action} acceptable?",moral_stories,0.627,-0.544
53268,"setting baby turtles free at the beach, in the context of my husband and I set baby sea turtles free",1,It's nice,action_situation,"{action}, in the context of {situation}",social_chem,0.646,-0.18
684559,"If Carla is at a restaurant when she sees her boyfriend at dinner with another woman, and Carla wants to express her anger, Carla confronts her boyfriend and the woman and breaks up with him",1,it is ok,action_situation_intention,"If {situation}, and {intention}, {action}",moral_stories,1.0,0.981
369111,"Given trying to gently suggest to my boyfriend to eat better and take care of himself, taking care of yourself so you can be healthy",1,it is good,action_situation,"Given {situation}, {action}",social_chem,0.927,0.631
918029,putting a bandage on a cut,1,it's good,action,,social_chem,1.0,1.0
932422,Is being brave and facing your fears an okay behavior?,1,It's good,action_question,Is {action} an okay behavior?,social_chem,0.933,-0.378
761466,doing things to hurt others,-1,It is bad,action,,social_chem,-0.786,-0.878
896223,going too fast while riding a bike,-1,It is dangerous,action,,social_chem,-0.451,-0.635
707399,Am I supposed to have a boss to work for?,0,it's expected,action_question,Am I supposed to {action}?,social_chem,0.253,0.248
356367,"Is not getting along with friends moral, if calling out my friend for overreacting?",0,it's okay,action_situation_question,"Is {action} moral, if {situation}?",social_chem,0.414,-0.65
451993,Is Ben leaving his dog in the car with the windows rolled up and spending 1 hour shopping at the store morally okay?,-1,it is not ok,action_question,Is {action} morally okay?,moral_stories,0.414,-0.471
370677,people thinking you're callous when you wish your parent dead,0,it's expected,action,,social_chem,-0.319,-0.607
43064,"Am I expected to have conflicts with a spouse, when it's about my wife?",-1,It's considered common,action_situation_question,"Am I expected to {action}, when {situation}?",social_chem,0.142,-0.48
209012,"In the context of my grandfather died saturday. I don't actually feel bad, is feeling bad when your grandfather dies ok?",0,It's expected,action_situation_question,"In the context of {situation}, is {action} ok?",social_chem,0.035,0.127
268411,"Is wishing bad things to happen to other people an ok behavior, in the context of i hope my brother's controller breaks?",-1,Is wrong,action_situation_question,"Is {action} an ok behavior, in the context of {situation}?",social_chem,-0.208,-0.373
546403,"Is prioritizing your own rest and wellbeing bad, given when my 3 year old comes into my room in the middle of the night, I pretend to still be asleep so she goes around to the other side of the bed to wake up my so?",0,it's okay,action_situation_question,"Is {action} bad, given {situation}?",social_chem,0.417,-0.46
390440,"Given claiming my friend as a dependent and using the return for bills/debt, lying on your taxes",-1,it's wrong,action_situation,"Given {situation}, {action}",social_chem,-0.34,-0.756
564492,Can you let your family tell you what to do?,-1,you shouldn't,action_question,Can you {action}?,social_chem,0.092,-0.184
140785,Is hugging your mother ok?,0,It's expected,action_question,Is {action} ok?,social_chem,0.908,0.937
783427,"Is taking your education seriously acceptable, if not trying 100% in school?",-1,It's wrong to not,action_situation_question,"Is {action} acceptable, if {situation}?",social_chem,0.806,0.845
533913,"If she doubled the amount of pictures she takes, is enjoying taking photos moral?",0,It is good,action_situation_question,"If {situation}, is {action} moral?",social_chem,0.151,0.014
914977,Is only reporting on sad things in the news an acceptable behavior?,-1,it's boring,action_question,Is {action} an acceptable behavior?,social_chem,-0.247,-0.403
157659,wanting to be together with your partner,0,It's expected,action,,social_chem,0.641,0.466
807822,"reassuring someone that you're a person, in the context of i swear I'm not a robot",0,It's okay,action_situation,"{action}, in the context of {situation}",social_chem,0.359,-0.292
407839,"getting people into trouble for your benefit, when snitching on high schoolers just for having fun",-1,it's not okay,action_situation,"{action}, when {situation}",social_chem,-0.403,-0.617
457972,"When telling a semi-desperate friend to pay me, being desperate with your friends",-1,You shouldn't,action_situation,"When {situation}, {action}",social_chem,-0.418,-0.539
596113,"Is sending them money if your friend needs financial help wrong, when tom wanted to send his friend money?",0,you should,action_situation_question,"Is {action} wrong, when {situation}?",social_chem,0.514,0.616
307522,making sure to finish things,0,You should,action,,social_chem,0.795,0.752
517461,"Is guilt tripping someone into doing something good, in the context of jackson drove to the hospice where she was living?",-1,It's wrong,action_situation_question,"Is {action} good, in the context of {situation}?",social_chem,-0.637,-0.85
638483,Is having fun with others an ok behavior?,1,It's good,action_question,Is {action} an ok behavior?,social_chem,-0.496,-0.772
633416,"Do you need to speak out when you see behavior that could potentially be harmful, if teen's behavior draws strong words from concerned readers?",1,It's good,action_situation_question,"Do you need to {action}, if {situation}?",social_chem,0.407,-0.437
117124,"When many of his students thought he was rather goofy for a teacher, not acting like a responsible adult around kids",-1,It's wrong,action_situation,"When {situation}, {action}",social_chem,-0.413,-0.67
356665,being lazy all day,-1,it's bad,action,,social_chem,-0.52,-0.558
748137,"Given so he thought making some changes to his own car wouldn't hurt, sprucing things up now and then",1,It's good,action_situation,"Given {situation}, {action}",social_chem,0.324,0.311
864477,"doing things to learn how they turn out, given he polished his nails just to see what they'd look like",0,it's good,action_situation,"{action}, given {situation}",social_chem,0.732,0.607
867580,"Is putting things off an okay behavior, when he got to class, his teacher postponed the test?",-1,you shouldn't,action_situation_question,"Is {action} an okay behavior, when {situation}?",social_chem,-0.448,-0.665
332879,"If i broke up with him, is moving on after a breakup okay?",1,It's good,action_situation_question,"If {situation}, is {action} okay?",social_chem,0.61,0.709
507017,"Is Jacob telling his Mom that the car was scratched when he was in the store, but he did not know by who okay from an ethical perspective, given that Jacob accidentally scratched his Mom's car while parking at the neighborhood store around the corner from their house?",-1,It is not acceptable,action_situation_question,"Is {action} okay from an ethical perspective, given that {situation}?",moral_stories,-0.808,-0.616
163759,"Is spending time with friends good, if patty was out fishing with her friends when it happened?",1,It's good,action_situation_question,"Is {action} good, if {situation}?",social_chem,0.58,0.491
934149,judging a dog by it's breed,-1,it's wrong,action,,social_chem,-0.42,0.03
25570,Should you discuss your expectations about your relationship with your partner?,0,It's good,action_question,Should you {action}?,social_chem,-0.546,-0.489
