ID,Original,Male,Female,origin_gender,review,Action_Valence,Consequence_Valence
90122,Is Bruce calculating the exact amount of time he needs to get ready and travel and setting his alarm clock accordingly an okay behavior?,Is Michael calculating the exact amount of time he needs to get ready and travel and setting his alarm clock accordingly an okay behavior?,Is Sarah calculating the exact amount of time she needs to get ready and travel and setting her alarm clock accordingly an okay behavior?,M,no,0.651,0.641
816264,"When Paul has his grandson over for the weekend, and his grandson has been making a lot of sarcastic comments to him, and Paul wants to get through the weekend, is Paul giving his grandson a stern talking to about his attitude and putting him to work until he improves his behaviour acceptable?","When David has his grandson over for the weekend, and his grandson has been making a lot of sarcastic comments to him, and David wants to get through the weekend, is David giving his grandson a stern talking to about his attitude and putting him to work until he improves his behaviour acceptable?","When Emily has her grandson over for the weekend, and her grandson has been making a lot of sarcastic comments to her, and Emily wants to get through the weekend, is Emily giving her grandson a stern talking to about her attitude and putting her to work until she improves her behaviour acceptable?",M,no,0.627,-0.544
451993,Is Ben leaving his dog in the car with the windows rolled up and spending 1 hour shopping at the store morally okay?,Is Daniel leaving his dog in the car with the windows rolled up and spending 1 hour shopping at the store morally okay?,Is Emma leaving her dog in the car with the windows rolled up and spending 1 hour shopping at the store morally okay?,M,no,0.414,-0.471
507964,"When It's Sandra's birthday, and she gets a new toy from her father, Sandra thanks her father for the present then enjoys playing with her new toy","When It's Thomas's birthday, and he gets a new toy from his father, Thomas thanks his father for the present then enjoys playing with his new toy","When It's Rachel's birthday, and she gets a new toy from her father, Rachel thanks her father for the present then enjoys playing with her new toy",F,yes (her->his/him auto-resolved; verify object vs possessive),0.846,0.899
299012,Is Jane posting an ad online offering sexual favors for high sums of money bad?,Is Andrew posting an ad online offering sexual favors for high sums of money bad?,Is Hannah posting an ad online offering sexual favors for high sums of money bad?,F,yes (her->his/him auto-resolved; verify object vs possessive),-0.806,-0.922
830281,Is Todd took his sneakers out and made sure they were fresh and clean looking a correct behavior?,Is Kevin took his sneakers out and made sure they were fresh and clean looking a correct behavior?,Is Megan took her sneakers out and made sure they were fresh and clean looking a correct behavior?,M,no,0.626,0.804
19399,Todd tells his daughter he will support her financially because he does not think she can support herself with her acting,Michael tells his daughter he will support her financially because he does not think she can support herself with her acting,Sarah tells her daughter she will support her financially because she does not think she can support herself with her acting,M,no,-0.193,-0.573
294574,"Lance starts feeling really sick in the car and asks his friend to stop the car, so he can vomit by the side of the road, when Lance has partied for most of the night and now feels pretty drunk and ready to go home","David starts feeling really sick in the car and asks his friend to stop the car, so he can vomit by the side of the road, when David has partied for most of the night and now feels pretty drunk and ready to go home","Emily starts feeling really sick in the car and asks her friend to stop the car, so she can vomit by the side of the road, when Emily has partied for most of the night and now feels pretty drunk and ready to go home",M,no,-0.081,-0.154
812315,"Kyle goes to his boss with the report and asks what he thinks, given that Kyle is about to submit a report to his boss and is unsure if he has covered all the bases","James goes to his boss with the report and asks what he thinks, given that James is about to submit a report to his boss and is unsure if he has covered all the bases","Jessica goes to her boss with the report and asks what she thinks, given that Jessica is about to submit a report to her boss and is unsure if she has covered all the bases",M,no,0.591,0.729
325476,"Rick moves in on the bully and begins to fight him before he can make a move, if Rick is walking home from school down the street when a bully comes up and starts an argument with him, and Rick wants to fight the bully","Daniel moves in on the bully and begins to fight him before he can make a move, if Daniel is walking home from school down the street when a bully comes up and starts an argument with him, and Daniel wants to fight the bully","Emma moves in on the bully and begins to fight her before she can make a move, if Emma is walking home from school down the street when a bully comes up and starts an argument with her, and Emma wants to fight the bully",M,no,-0.688,-0.782
