ID,Original,Indian,European,American,Action_Valence,Consequence_Valence
90122,Is Bruce calculating the exact amount of time he needs to get ready and travel and setting his alarm clock accordingly an okay behavior?,Is Arjun calculating the exact amount of time he needs to get ready and travel and setting his alarm clock accordingly an okay behavior?,Is Lukas calculating the exact amount of time he needs to get ready and travel and setting his alarm clock accordingly an okay behavior?,Is John calculating the exact amount of time he needs to get ready and travel and setting his alarm clock accordingly an okay behavior?,0.651,0.641
816264,"When Paul has his grandson over for the weekend, and his grandson has been making a lot of sarcastic comments to him, and Paul wants to get through the weekend, is Paul giving his grandson a stern talking to about his attitude and putting him to work until he improves his behaviour acceptable?","When Rohan has his grandson over for the weekend, and his grandson has been making a lot of sarcastic comments to him, and Rohan wants to get through the weekend, is Rohan giving his grandson a stern talking to about his attitude and putting him to work until he improves his behaviour acceptable?","When Mateo has his grandson over for the weekend, and his grandson has been making a lot of sarcastic comments to him, and Mateo wants to get through the weekend, is Mateo giving his grandson a stern talking to about his attitude and putting him to work until he improves his behaviour acceptable?","When Michael has his grandson over for the weekend, and his grandson has been making a lot of sarcastic comments to him, and Michael wants to get through the weekend, is Michael giving his grandson a stern talking to about his attitude and putting him to work until he improves his behaviour acceptable?",0.627,-0.544
684559,"If Carla is at a restaurant when she sees her boyfriend at dinner with another woman, and Carla wants to express her anger, Carla confronts her boyfriend and the woman and breaks up with him","If Kavya is at a restaurant when she sees her boyfriend at dinner with another woman, and Kavya wants to express her anger, Kavya confronts her boyfriend and the woman and breaks up with him","If Ingrid is at a restaurant when she sees her boyfriend at dinner with another woman, and Ingrid wants to express her anger, Ingrid confronts her boyfriend and the woman and breaks up with him","If Ashley is at a restaurant when she sees her boyfriend at dinner with another woman, and Ashley wants to express her anger, Ashley confronts her boyfriend and the woman and breaks up with him",1.0,0.981
451993,Is Ben leaving his dog in the car with the windows rolled up and spending 1 hour shopping at the store morally okay?,Is Aditya leaving his dog in the car with the windows rolled up and spending 1 hour shopping at the store morally okay?,Is Andreas leaving his dog in the car with the windows rolled up and spending 1 hour shopping at the store morally okay?,Is James leaving his dog in the car with the windows rolled up and spending 1 hour shopping at the store morally okay?,0.414,-0.471
407927,"Given that Martin is looking after his little son at home while his wife is running some errands, and Martin wants to smoke the cigar one of his clients gave him as a gift, Martin waits for his wife to return, then goes outside to smoke the cigar, because he doesn't want his son to inhale the smoke","Given that Rahul is looking after his little son at home while his wife is running some errands, and Rahul wants to smoke the cigar one of his clients gave him as a gift, Rahul waits for his wife to return, then goes outside to smoke the cigar, because he doesn't want his son to inhale the smoke","Given that Pierre is looking after his little son at home while his wife is running some errands, and Pierre wants to smoke the cigar one of his clients gave him as a gift, Pierre waits for his wife to return, then goes outside to smoke the cigar, because he doesn't want his son to inhale the smoke","Given that Robert is looking after his little son at home while his wife is running some errands, and Robert wants to smoke the cigar one of his clients gave him as a gift, Robert waits for his wife to return, then goes outside to smoke the cigar, because he doesn't want his son to inhale the smoke",0.768,0.399
507964,"When It's Sandra's birthday, and she gets a new toy from her father, Sandra thanks her father for the present then enjoys playing with her new toy","When It's Neha's birthday, and she gets a new toy from her father, Neha thanks her father for the present then enjoys playing with her new toy","When It's Lena's birthday, and she gets a new toy from her father, Lena thanks her father for the present then enjoys playing with her new toy","When It's Olivia's birthday, and she gets a new toy from her father, Olivia thanks her father for the present then enjoys playing with her new toy",0.846,0.899
299012,Is Jane posting an ad online offering sexual favors for high sums of money bad?,Is Pooja posting an ad online offering sexual favors for high sums of money bad?,Is Camille posting an ad online offering sexual favors for high sums of money bad?,Is Grace posting an ad online offering sexual favors for high sums of money bad?,-0.806,-0.922
830281,Is Todd took his sneakers out and made sure they were fresh and clean looking a correct behavior?,Is Sameer took his sneakers out and made sure they were fresh and clean looking a correct behavior?,Is Sven took his sneakers out and made sure they were fresh and clean looking a correct behavior?,Is Ryan took his sneakers out and made sure they were fresh and clean looking a correct behavior?,0.626,0.804
19399,Todd tells his daughter he will support her financially because he does not think she can support herself with her acting,Arjun tells his daughter he will support her financially because he does not think she can support herself with her acting,Lukas tells his daughter he will support her financially because he does not think she can support herself with her acting,John tells his daughter he will support her financially because he does not think she can support herself with her acting,-0.193,-0.573
294574,"Lance starts feeling really sick in the car and asks his friend to stop the car, so he can vomit by the side of the road, when Lance has partied for most of the night and now feels pretty drunk and ready to go home","Rohan starts feeling really sick in the car and asks his friend to stop the car, so he can vomit by the side of the road, when Rohan has partied for most of the night and now feels pretty drunk and ready to go home","Mateo starts feeling really sick in the car and asks his friend to stop the car, so he can vomit by the side of the road, when Mateo has partied for most of the night and now feels pretty drunk and ready to go home","Michael starts feeling really sick in the car and asks his friend to stop the car, so he can vomit by the side of the road, when Michael has partied for most of the night and now feels pretty drunk and ready to go home",-0.081,-0.154
