ID,Action_Valence,Consequence_Valence
189036,0.587,-0.432
134125,0.587,0.126
124083,0.771,-0.398
685660,0.524,-0.65
226429,0.849,0.772
365400,-0.763,-0.845
649156,0.325,-0.097
193722,-0.592,-0.757
570004,0.257,0.107
589767,0.787,0.699
833314,-0.684,-0.873
497965,0.665,0.559
403075,-0.554,0.223
583737,0.436,0.126
183295,0.781,-0.859
883750,-0.132,-0.505
669915,-0.171,-0.106
277464,0.66,-0.35
614339,-0.5,-0.758
402529,0.354,-0.937
555133,0.781,0.801
449683,-0.947,-0.951
750283,-0.787,-0.558
401419,0.509,0.204
669266,-1,-0.98
377247,0.515,0.282
90122,0.651,0.641
268493,-0.388,0.563
739280,0.583,-0.738
816264,0.627,-0.544
53268,0.646,-0.18
684559,1,0.981
369111,0.927,0.631
918029,1,1
932422,0.933,-0.378
761466,-0.786,-0.878
896223,-0.451,-0.635
707399,0.253,0.248
356367,0.414,-0.65
451993,0.414,-0.471
370677,-0.319,-0.607
43064,0.142,-0.48
209012,0.035,0.127
268411,-0.208,-0.373
546403,0.417,-0.46
390440,-0.34,-0.756
564492,0.092,-0.184
140785,0.908,0.937
783427,0.806,0.845
533913,0.151,0.014
914977,-0.247,-0.403
157659,0.641,0.466
807822,0.359,-0.292
407839,-0.403,-0.617
457972,-0.418,-0.539
596113,0.514,0.616
307522,0.795,0.752
517461,-0.637,-0.85
638483,-0.496,-0.772
633416,0.407,-0.437
117124,-0.413,-0.67
356665,-0.52,-0.558
748137,0.324,0.311
864477,0.732,0.607
867580,-0.448,-0.665
332879,0.61,0.709
507017,-0.808,-0.616
163759,0.58,0.491
934149,-0.42,0.03
25570,-0.546,-0.489
669947,-0.823,-0.921
801146,0.167,0.263
416635,-0.45,-0.625
352420,0.637,-0.29
407927,0.768,0.399
607571,-0.441,-0.645
339904,0.651,0.739
507964,0.846,0.899
302801,0.365,-0.484
690462,-0.426,-0.562
759432,-0.732,-0.703
741775,0.971,0.894
148516,-0.446,-0.664
424988,0.865,0.889
627171,0.681,0.282
452573,0.71,0.598
171790,-0.408,-0.699
227295,-0.593,-0.621
436657,0.684,0.709
37563,0.004,-0.179
915520,0.339,-0.145
230475,-0.316,-0.611
346750,0.791,0.68
475592,-0.272,-0.456
831073,0.611,0.534
242659,0.82,0.772
354664,-0.549,-0.782
650405,0.349,0.427
259725,-0.146,-0.267
569582,0.15,0.243
484920,0.15,0.093
299012,-0.806,-0.922
125609,-0.335,-0.529
814945,-0.505,-0.563
331684,0.495,0.504
485046,-0.529,-0.647
249385,-0.024,-0.06
830281,0.626,0.804
303787,0.096,0.071
440942,-0.326,-0.448
63561,-0.375,-0.671
506660,-0.657,-0.846
539124,0.804,0.809
83112,0.848,0.848
313771,0.911,0.892
419947,0.187,0.115
647075,0.847,0.877
779116,-0.376,-0.531
521315,-0.032,-0.031
365655,-0.566,-0.871
612927,-0.241,-0.386
32968,0.361,-0.527
787268,0.895,0.927
141908,0.846,0.747
310487,0.904,0.873
817443,-0.678,-0.777
698261,-0.285,-0.384
205695,-0.469,-0.695
408182,0.871,0.927
419389,0.638,0.602
830805,1,1
531186,-0.772,-0.845
582303,-0.126,-0.491
446979,0.656,0.766
859217,0.51,0.635
708098,-0.902,-0.923
590762,-0.135,-0.282
47828,0.608,0.742
31531,-0.581,-0.811
590683,-0.474,-0.52
294556,-0.149,-0.185
751756,-0.523,-0.607
593770,-0.295,-0.476
249346,-0.523,-0.602
81158,-0.076,-0.141
19399,-0.193,-0.573
308440,-0.877,-0.932
198917,-0.382,-0.641
526869,0.433,0.685
60001,0.681,0.763
215476,-0.115,-0.363
54691,-0.426,-0.727
294574,-0.081,-0.154
501069,-0.11,-0.193
588690,0.051,0.006
794684,0.901,0.914
604907,0.78,0.851
352124,-0.04,-0.023
812315,0.591,0.729
325715,-0.817,-0.941
731979,-0.807,-0.907
326927,0.882,0.879
289744,-0.487,-0.723
448202,0.809,0.927
78212,0.921,0.927
20201,-0.676,-0.893
116970,-0.53,-0.67
66735,0.693,0.845
490686,1,1
940467,0.549,0.752
95410,0.331,-0.442
325476,-0.688,-0.782
734983,0.147,0.281
850545,0.54,0.66
836745,0.54,0.568
640589,-0.455,-0.811
387786,-0.664,-0.811
216134,-0.096,-0.136
707234,-0.353,-0.524
802563,0.802,0.927
137766,0.918,0.888
926975,1,1
168925,0.903,0.869
816349,-0.441,-0.675
857833,-0.8,-0.84
897059,0.783,0.903
251231,-0.867,-0.903
360503,0.303,0.281
733878,-0.799,-0.933
742384,0.06,0.052
788691,0.094,0.062
435672,0.011,0.009
283385,-0.761,-0.807
41063,0.749,0.868
746742,0.531,0.907
318837,-0.518,-0.792
917767,0.55,-0.53
892592,0.749,-0.69
97504,0.885,0.907
